VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V1,CD8,126.0,CD8 - C11 - C1 - C75 - C87 - C26 - C32 - C62 - C13 - C17 - C28 - C55 - CD6,11,12 - 12 - 12 - 10 - 12 - 12 - 12 - 8 - 12 - 12 - 12,30.199485014415973,72.47876403459833,158547.29632568386
V3,CD12,36.0,CD12 - C37 - C59 - C56 - CD7,3,12 - 12 - 12,6.390891007846058,15.33813841883054,33552.1777911918
V5,CD5,12.0,CD5 - C18 - CD5,1,12,1.84332010767283,4.423968258414792,9677.430565282359
V6,CD9,24.0,CD9 - C29 - C21 - CD9,2,12 - 12,3.4109028149848264,8.186166755963583,17907.239778670337
V8,CD6,72.0,CD6 - C85 - C30 - C43 - C35 - C24 - C84 - CD7,6,12 - 12 - 12 - 12 - 12 - 12,16.75120284510816,40.20288682825958,87943.81493681783
V9,CD12,24.0,CD12 - C68 - C70 - CD10,2,12 - 12,3.1288367269157256,7.509208144597742,16426.392816307558
V10,CD12,96.0,CD12 - C88 - C8 - C36 - C60 - C46 - C64 - C33 - C51 - CD5,8,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,29.52874145210795,70.86897948505909,155025.89262356673
V11,CD8,120.0,CD8 - C40 - C14 - C10 - C90 - C69 - C47 - C4 - C2 - C66 - C58 - CD1,10,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,31.37908419743087,75.30980207383409,164740.19203651205
V12,CD7,12.0,CD7 - C15 - CD7,1,12,1.6293350272454798,3.910404065389152,8554.00889303877
V13,CD4,12.0,CD4 - C7 - CD4,1,12,0.4326859379016263,1.038446250963903,2271.6011739835376
V14,CD10,72.0,CD10 - C83 - C53 - C42 - C65 - C76 - C19 - CD5,6,12 - 12 - 12 - 12 - 12 - 12,31.83444333133523,76.40266399520455,167130.82748950995
V15,CD4,84.0,CD4 - C72 - C20 - C82 - C41 - C12 - C63 - C81 - CD4,7,12 - 12 - 12 - 12 - 12 - 12 - 12,18.596256395098457,44.631015348236296,97630.3460742669
V16,CD7,12.0,CD7 - C34 - CD7,1,12,2.3204329424669012,5.569039061920563,12182.27294795123
V17,CD2,12.0,CD2 - C25 - CD2,1,12,2.948812120378677,7.0771490889088255,15481.263631988053
V19,CD3,12.0,CD3 - C6 - CD3,1,12,2.2700541625435537,5.448129990104529,11917.784353353656
V21,CD9,12.0,CD9 - C49 - CD9,1,12,2.2211285503883453,5.330708520932029,11660.924889538812
V22,CD9,12.0,CD9 - C9 - CD9,1,12,1.3944935691041318,3.3467845658499162,7321.0912377966915
V23,CD5,12.0,CD5 - C3 - CD5,1,12,2.063068428733193,4.951364228959663,10831.109250849262
V24,CD4,12.0,CD4 - C74 - CD4,1,12,1.8964313131902892,4.551435151656694,9956.26439424902
V25,CD5,12.0,CD5 - C16 - CD5,1,12,0.9240131526009393,2.2176315662422543,4851.069051154931
V26,CD12,12.0,CD12 - C79 - CD12,1,12,0.48439216388606016,1.1625411933265444,2543.0588604018158
V27,CD4,12.0,CD4 - C67 - CD4,1,12,1.4584824144737376,3.50035779473697,7657.032675987122
V28,CD12,29.0,CD12 - C54 - C80 - C27 - CD10,3,12 - 5 - 12,6.734472641353118,16.162734339247486,35355.98136710387
V30,CD7,24.0,CD7 - C73 - C89 - CD10,2,12 - 12,8.043967882049825,19.305522916919582,42230.83138076158
